#field RA        DEC
20378 287.4627   5.4545
30378 287.4627  -5.4545
20379 290.1493   5.4545
30379 290.1493  -5.4545
20380 292.8358   5.4545
30380 292.8358  -5.4545
20381 295.5224   5.4545
30381 295.5224  -5.4545
20382 298.2090   5.4545
30382 298.2090  -5.4545
20383 300.8955   5.4545
30383 300.8955  -5.4545
20384 303.5821   5.4545
30384 303.5821  -5.4545
20385 306.2687   5.4545
30385 306.2687  -5.4545
20386 308.9552   5.4545
30386 308.9552  -5.4545
20387 311.6418   5.4545
30387 311.6418  -5.4545
20388 314.3284   5.4545
30388 314.3284  -5.4545
20389 317.0149   5.4545
30389 317.0149  -5.4545
20390 319.7015   5.4545
30390 319.7015  -5.4545
20391 322.3881   5.4545
30391 322.3881  -5.4545
20392 325.0746   5.4545
30392 325.0746  -5.4545
20393 327.7612   5.4545
30393 327.7612  -5.4545
20394 330.4478   5.4545
30394 330.4478  -5.4545
20395 333.1343   5.4545
30395 333.1343  -5.4545
20396 335.8209   5.4545
30396 335.8209  -5.4545
20397 338.5075   5.4545
30397 338.5075  -5.4545
20398 341.1940   5.4545
30398 341.1940  -5.4545
20399 343.8806   5.4545
30399 343.8806  -5.4545
20400 346.5672   5.4545
30400 346.5672  -5.4545
20401 349.2537   5.4545
30401 349.2537  -5.4545
20402 351.9403   5.4545
30402 351.9403  -5.4545
20403 354.6269   5.4545
30403 354.6269  -5.4545
20404 357.3134   5.4545
30404 357.3134  -5.4545
20405   0.0000   8.1818
30405   0.0000  -8.1818
20406   2.7068   8.1818
30406   2.7068  -8.1818
20407   5.4135   8.1818
30407   5.4135  -8.1818
20408   8.1203   8.1818
30408   8.1203  -8.1818
20409  10.8271   8.1818
30409  10.8271  -8.1818
20410  13.5338   8.1818
30410  13.5338  -8.1818
20411  16.2406   8.1818
30411  16.2406  -8.1818
20412  18.9474   8.1818
30412  18.9474  -8.1818
20413  21.6541   8.1818
30413  21.6541  -8.1818
20414  24.3609   8.1818
30414  24.3609  -8.1818
20415  27.0677   8.1818
30415  27.0677  -8.1818
20416  29.7744   8.1818
30416  29.7744  -8.1818
20417  32.4812   8.1818
30417  32.4812  -8.1818
20418  35.1880   8.1818
30418  35.1880  -8.1818
20419  37.8947   8.1818
30419  37.8947  -8.1818
20420  40.6015   8.1818
30420  40.6015  -8.1818
20421  43.3083   8.1818
30421  43.3083  -8.1818
20422  46.0150   8.1818
30422  46.0150  -8.1818
20423  48.7218   8.1818
30423  48.7218  -8.1818
20424  51.4286   8.1818
30424  51.4286  -8.1818
20425  54.1353   8.1818
30425  54.1353  -8.1818
20426  56.8421   8.1818
30426  56.8421  -8.1818
20427  59.5489   8.1818
30427  59.5489  -8.1818
20428  62.2556   8.1818
30428  62.2556  -8.1818
20429  64.9624   8.1818
30429  64.9624  -8.1818
20430  67.6692   8.1818
30430  67.6692  -8.1818
20431  70.3759   8.1818
30431  70.3759  -8.1818
20432  73.0827   8.1818
30432  73.0827  -8.1818
20433  75.7895   8.1818
30433  75.7895  -8.1818
20434  78.4962   8.1818
30434  78.4962  -8.1818
20435  81.2030   8.1818
30435  81.2030  -8.1818
20436  83.9098   8.1818
30436  83.9098  -8.1818
20437  86.6165   8.1818
30437  86.6165  -8.1818
20438  89.3233   8.1818
30438  89.3233  -8.1818
20439  92.0301   8.1818
30439  92.0301  -8.1818
20440  94.7368   8.1818
30440  94.7368  -8.1818
20441  97.4436   8.1818
30441  97.4436  -8.1818
20442 100.1504   8.1818
30442 100.1504  -8.1818
20443 102.8571   8.1818
30443 102.8571  -8.1818
20444 105.5639   8.1818
30444 105.5639  -8.1818
20445 108.2707   8.1818
30445 108.2707  -8.1818
20446 110.9774   8.1818
30446 110.9774  -8.1818
20447 113.6842   8.1818
30447 113.6842  -8.1818
20448 116.3910   8.1818
30448 116.3910  -8.1818
20449 119.0977   8.1818
30449 119.0977  -8.1818
20450 121.8045   8.1818
30450 121.8045  -8.1818
20451 124.5113   8.1818
30451 124.5113  -8.1818
20452 127.2180   8.1818
30452 127.2180  -8.1818
20453 129.9248   8.1818
30453 129.9248  -8.1818
20454 132.6316   8.1818
30454 132.6316  -8.1818
20455 135.3383   8.1818
30455 135.3383  -8.1818
20456 138.0451   8.1818
30456 138.0451  -8.1818
20457 140.7519   8.1818
30457 140.7519  -8.1818
20458 143.4586   8.1818
30458 143.4586  -8.1818
20459 146.1654   8.1818
30459 146.1654  -8.1818
20460 148.8722   8.1818
30460 148.8722  -8.1818
20461 151.5789   8.1818
30461 151.5789  -8.1818
20462 154.2857   8.1818
30462 154.2857  -8.1818
20463 156.9925   8.1818
30463 156.9925  -8.1818
20464 159.6992   8.1818
30464 159.6992  -8.1818
20465 162.4060   8.1818
30465 162.4060  -8.1818
20466 165.1128   8.1818
30466 165.1128  -8.1818
20467 167.8195   8.1818
30467 167.8195  -8.1818
20468 170.5263   8.1818
30468 170.5263  -8.1818
20469 173.2331   8.1818
30469 173.2331  -8.1818
20470 175.9398   8.1818
30470 175.9398  -8.1818
20471 178.6466   8.1818
30471 178.6466  -8.1818
20472 181.3534   8.1818
30472 181.3534  -8.1818
20473 184.0602   8.1818
30473 184.0602  -8.1818
20474 186.7669   8.1818
30474 186.7669  -8.1818
20475 189.4737   8.1818
30475 189.4737  -8.1818
20476 192.1805   8.1818
30476 192.1805  -8.1818
20477 194.8872   8.1818
30477 194.8872  -8.1818
20478 197.5940   8.1818
30478 197.5940  -8.1818
20479 200.3008   8.1818
30479 200.3008  -8.1818
20480 203.0075   8.1818
30480 203.0075  -8.1818
20481 205.7143   8.1818
30481 205.7143  -8.1818
20482 208.4211   8.1818
30482 208.4211  -8.1818
20483 211.1278   8.1818
30483 211.1278  -8.1818
20484 213.8346   8.1818
30484 213.8346  -8.1818
20485 216.5414   8.1818
30485 216.5414  -8.1818
20486 219.2481   8.1818
30486 219.2481  -8.1818
20487 221.9549   8.1818
30487 221.9549  -8.1818
20488 224.6617   8.1818
30488 224.6617  -8.1818
20489 227.3684   8.1818
30489 227.3684  -8.1818
20490 230.0752   8.1818
30490 230.0752  -8.1818
20491 232.7820   8.1818
30491 232.7820  -8.1818
20492 235.4887   8.1818
30492 235.4887  -8.1818
20493 238.1955   8.1818
30493 238.1955  -8.1818
20494 240.9023   8.1818
30494 240.9023  -8.1818
20495 243.6090   8.1818
30495 243.6090  -8.1818
20496 246.3158   8.1818
30496 246.3158  -8.1818
20497 249.0226   8.1818
30497 249.0226  -8.1818
20498 251.7293   8.1818
30498 251.7293  -8.1818
20499 254.4361   8.1818
30499 254.4361  -8.1818
20500 257.1429   8.1818
30500 257.1429  -8.1818
20501 259.8496   8.1818
30501 259.8496  -8.1818
20502 262.5564   8.1818
30502 262.5564  -8.1818
20503 265.2632   8.1818
30503 265.2632  -8.1818
20504 267.9699   8.1818
30504 267.9699  -8.1818
20505 270.6767   8.1818
30505 270.6767  -8.1818
20506 273.3835   8.1818
30506 273.3835  -8.1818
20507 276.0902   8.1818
30507 276.0902  -8.1818
20508 278.7970   8.1818
30508 278.7970  -8.1818
20509 281.5038   8.1818
30509 281.5038  -8.1818
20510 284.2105   8.1818
30510 284.2105  -8.1818
20511 286.9173   8.1818
30511 286.9173  -8.1818
20512 289.6241   8.1818
30512 289.6241  -8.1818
20513 292.3308   8.1818
30513 292.3308  -8.1818
20514 295.0376   8.1818
30514 295.0376  -8.1818
20515 297.7444   8.1818
30515 297.7444  -8.1818
20516 300.4511   8.1818
30516 300.4511  -8.1818
20517 303.1579   8.1818
30517 303.1579  -8.1818
20518 305.8647   8.1818
30518 305.8647  -8.1818
20519 308.5714   8.1818
30519 308.5714  -8.1818
20520 311.2782   8.1818
30520 311.2782  -8.1818
20521 313.9850   8.1818
30521 313.9850  -8.1818
20522 316.6917   8.1818
30522 316.6917  -8.1818
20523 319.3985   8.1818
30523 319.3985  -8.1818
20524 322.1053   8.1818
30524 322.1053  -8.1818
20525 324.8120   8.1818
30525 324.8120  -8.1818
20526 327.5188   8.1818
30526 327.5188  -8.1818
20527 330.2256   8.1818
30527 330.2256  -8.1818
20528 332.9323   8.1818
30528 332.9323  -8.1818
20529 335.6391   8.1818
30529 335.6391  -8.1818
20530 338.3459   8.1818
30530 338.3459  -8.1818
20531 341.0526   8.1818
30531 341.0526  -8.1818
20532 343.7594   8.1818
30532 343.7594  -8.1818
20533 346.4662   8.1818
30533 346.4662  -8.1818
20534 349.1729   8.1818
30534 349.1729  -8.1818
20535 351.8797   8.1818
30535 351.8797  -8.1818
20536 354.5865   8.1818
30536 354.5865  -8.1818
20537 357.2932   8.1818
30537 357.2932  -8.1818
20538   0.0000  10.9091
30538   0.0000 -10.9091
20539   2.7273  10.9091
30539   2.7273 -10.9091
20540   5.4545  10.9091
30540   5.4545 -10.9091
20541   8.1818  10.9091
30541   8.1818 -10.9091
20542  10.9091  10.9091
30542  10.9091 -10.9091
20543  13.6364  10.9091
30543  13.6364 -10.9091
20544  16.3636  10.9091
30544  16.3636 -10.9091
20545  19.0909  10.9091
30545  19.0909 -10.9091
20546  21.8182  10.9091
30546  21.8182 -10.9091
20547  24.5455  10.9091
30547  24.5455 -10.9091
20548  27.2727  10.9091
30548  27.2727 -10.9091
20549  30.0000  10.9091
30549  30.0000 -10.9091
20550  32.7273  10.9091
30550  32.7273 -10.9091
20551  35.4545  10.9091
30551  35.4545 -10.9091
20552  38.1818  10.9091
30552  38.1818 -10.9091
20553  40.9091  10.9091
30553  40.9091 -10.9091
20554  43.6364  10.9091
30554  43.6364 -10.9091
20555  46.3636  10.9091
30555  46.3636 -10.9091
20556  49.0909  10.9091
30556  49.0909 -10.9091
20557  51.8182  10.9091
30557  51.8182 -10.9091
20558  54.5455  10.9091
30558  54.5455 -10.9091
20559  57.2727  10.9091
30559  57.2727 -10.9091
20560  60.0000  10.9091
30560  60.0000 -10.9091
20561  62.7273  10.9091
30561  62.7273 -10.9091
20562  65.4545  10.9091
30562  65.4545 -10.9091
20563  68.1818  10.9091
30563  68.1818 -10.9091
20564  70.9091  10.9091
30564  70.9091 -10.9091
20565  73.6364  10.9091
30565  73.6364 -10.9091
20566  76.3636  10.9091
30566  76.3636 -10.9091
20567  79.0909  10.9091
30567  79.0909 -10.9091
20568  81.8182  10.9091
30568  81.8182 -10.9091
20569  84.5455  10.9091
30569  84.5455 -10.9091
20570  87.2727  10.9091
30570  87.2727 -10.9091
20571  90.0000  10.9091
30571  90.0000 -10.9091
20572  92.7273  10.9091
30572  92.7273 -10.9091
20573  95.4545  10.9091
30573  95.4545 -10.9091
20574  98.1818  10.9091
30574  98.1818 -10.9091
20575 100.9091  10.9091
30575 100.9091 -10.9091
20576 103.6364  10.9091
30576 103.6364 -10.9091
20577 106.3636  10.9091
30577 106.3636 -10.9091
20578 109.0909  10.9091
30578 109.0909 -10.9091
20579 111.8182  10.9091
30579 111.8182 -10.9091
20580 114.5455  10.9091
30580 114.5455 -10.9091
20581 117.2727  10.9091
30581 117.2727 -10.9091
20582 120.0000  10.9091
30582 120.0000 -10.9091
20583 122.7273  10.9091
30583 122.7273 -10.9091
20584 125.4545  10.9091
30584 125.4545 -10.9091
20585 128.1818  10.9091
30585 128.1818 -10.9091
20586 130.9091  10.9091
30586 130.9091 -10.9091
20587 133.6364  10.9091
30587 133.6364 -10.9091
